Name,Set,Market $,Prices,Qty,TCG ID,Location,Date,
Gigalith 129/086 IR WHT,White Flare,$16.25,"NM $17.07 (last sold 17.32, 16.51, 18.45) · LP $17.01 (last sold 17.01)",1,"642,242",,2026-05-12,
Morpeko VMAX 204/202 Rainbow SS,Sword & Shield Base Set,$19.00,"NM $19.52 (last sold 18.08, 25.95, 18.25) · LP $12.53 (last sold 9.07, 15.99) · MP $9.80 (last sold 9.80)",1,"208,381",,2026-05-12,
Chi-Yu ex 259/193 SIR PAL,Paldea Evolved,$49.64,"NM $50.12 (last sold 58.68, 46.50, 43.49) · LP $46.05 (last sold 46.25, 47.80, 44.11) · MP $33.39 (last sold 29.28, 37.49)",2,"497,678",,2026-05-12,
Yanmega ex 228/182 SIR DRI,Destined Rivals,$23.08,"NM $23.08 (last sold 26.99, 26.99, 22.86)",2,"633,028",,2026-05-12,
Victini 208 SVP,Scarlet & Violet Promo Cards,$7.84,"NM $15.66 (last sold 16.25, 15.00, 14.36) · LP $14.75 (last sold 15.00, 14.50)",2,"646,169",,2026-05-12,
Lana's Aid 219/167 SIR TWM,Twilight Masquerade,$36.56,"NM $36.44 (last sold 35.00, 34.00, 38.80)",2,"550,263",,2026-05-12,
Reuniclus (Poke Ball Pattern) 039/086 BLK,Black Bolt,$0.57,"NM $0.57 (last sold 0.64, 0.43, 0.60) · LP $0.58 (last sold 0.58) · eBay $1.59 (last sold 0.99, 1.45, 1.89)",1,"642,735",,2026-05-12,wrong was master ball
Field Blower 163/145 Rainbow SM02,SM - Guardians Rising,$17.49,"NM $18.39 (last sold 19.99, 19.87, 19.87) · LP $15.50 (last sold 14.99, 16.00) · MP $13.09 (last sold 12.47, 13.71) · eBay $2.45 (last sold 2.49, 2.59, 2.49)",1,"131,059",,2026-05-12,
Joltik 196/182 IR PAR,Paradox Rift,$24,"NM $25.22 (last sold 24.25, 24.20, 24.99) · LP $22.38 (last sold 23.88, 23.75, 23.98) · eBay $18.60 (last sold 17.50, 25.00, 18.50)",1,"523,877",,2026-05-12,
N's Zoroark ex 189/159 HR JTG,Journey Together,$18.31,"NM $18.34 (last sold 18.26, 18.26, 18.26) · LP $18.60 (last sold 18.18, 18.63, 18.98) · eBay $15.18 (last sold 16.99, 14.00, 13.99)",1,"623,616",,2026-05-12,
Gouging Fire ex 204/162 SIR TEF,Temporal Forces,$35.83,"NM $35.79 (last sold 34.07, 35.84, 36.00)",1,"542,925",,2026-05-12,
Meowscarada ex 256/193 SIR PAL,Paldea Evolved,$26.71,"NM $33.19 (last sold 31.86, 32.75, 31.82) · LP $34.76 (last sold 32.00, 36.79, 35.49) · HP $18.25 (last sold 18.25) · eBay $26.47 (last sold 28.00, 32.99, 26.00)",1,"497,675",,2026-05-12,
Fidough 213/198 IR SVI,Scarlet & Violet Base Set,$26.74,"NM $27.00 (last sold 25.99, 28.00, 27.00) · LP $22.17 (last sold 21.09, 23.25) · eBay $20.85 (last sold 22.50, 21.78, 11.00)",1,"487,086",,2026-05-12,
Unown (F) F/28 UF,Unseen Forces,$20.32,"NM $49.49 (last sold 49.99, 48.99) · LP $22.69 (last sold 22.69) · MP no recent (sold 19.99 on 3/25, 9.59 on 3/13, 14.99 on 2/27) · HP $10.97 (last sold 10.97) · eBay $49.00 (last sold 18.00, 14.00, 19.99)",1,"90,173",,2026-05-12,
Erika's Kindness 103/132 G2,Gym Challenge,$20.77,"NM $24.93 (last sold 26.00, 27.50, 37.08) · LP $31.28 (last sold 24.00, 23.00, 19.95) · MP $18.10 (last sold 27.14, 14.96, 16.91) · HP $12.00 (last sold 10.00, 14.00) · eBay $16.93 (last sold 17.00, 23.00, 13.00)",1,"85,299",,2026-05-12,
Guzma 143/147 FA SM03,SM - Burning Shadows,$23.00,"NM $21.64 (last sold 22.33, 23.95, 20.99) · LP $19.04 (last sold 16.00, 15.00, 19.95) · MP $15.75 (last sold 16.51, 16.23, 16.20) · HP $18.56 (last sold 18.56) · eBay $10.80 (last sold 17.99, 15.99, 14.61)",1,"138,610",,2026-05-12,
Sinistcha ex 210/167 SIR TWM,Twilight Masquerade,$25.15,"NM $24.97 (last sold 27.99, 27.00, 26.99) · LP $21.68 (last sold 24.35, 19.00) · MP $18.95 (last sold 18.95) · eBay $17.90 (last sold 18.50, 17.00, 19.00)",1,"550,254",,2026-05-12,
