Name,Set,Market $,Prices,Qty,TCG ID,Location,Date
Mew 011/025 Holo Rare CLB,Celebrations,$1.71,"NM $4.49 (last sold 3.99, 3.00, 4.17)",6,250309,,2026-05-12
Zygarde GX 73/131 TCG SM06,SM - Forbidden Light,$8.89,"NM $11.43 (last sold 10.19, 11.39, 10.74)",1,165725,,2026-05-12
Raichu 10/123 Holo Rare HS,HeartGold SoulSilver,$4.62,"NM $31.90 (last sold 30.00, 39.94, 21.99) · LP $19.07 (last sold 19.99, 17.99, 18.31) · MP $9.47 (last sold 11.00, 8.62, 8.08) · HP no recent (sold 6.39 on 4/3) · eBay $20.40 (last sold 16.00, 18.99, 3.95)",1,88517,,2026-05-12
Drayton 244/191 SIR SSP,Surging Sparks,$8.11,"NM $8.11 (last sold 8.15, 7.00, 8.13)",1,589925,,2026-05-12
Pecharunt ex 085/064 UR SFA,Shrouded Fable,$6.83,"NM $6.65 (last sold 7.95, 4.50, 4.46)",1,560396,,2026-05-12
Riolu - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG26/GG70 CRZ:GG,,$10.10,"NM $11.77 (last sold 11.82, 10.38, 12.98)",2,478045,,2026-05-12
Vivillon 193/191 IR SSP,Surging Sparks,$4.49,"NM $4.29 (last sold 5.00, 3.50, 4.06)",1,590090,,2026-05-12
Fan Rotom 250/217 IR ASC,Ascended Heroes,$3.89,"NM $3.92 (last sold 4.79, 3.78, 3.78)",1,676062,,2026-05-12
Quagsire 030/147 AQ,Aquapolis,$41.89,"NM $48.74 (last sold 48.74) · LP $40.29 (last sold 40.29) · MP $35.00 (last sold 35.00) · HP $37.50 (last sold 25.00, 49.99) · eBay $50.43 (last sold 1.49, 100.00, 40.65)",1,88467,,2026-05-12
Bianca's Devotion 209/162 SIR TEF,Temporal Forces,$21.41,"NM $22.50 (last sold 26.32, 21.79, 22.56)",1,542930,,2026-05-12
Scorbunny 225/217 IR ASC,Ascended Heroes,$12.22,"NM $12.61 (last sold 12.58, 11.62, 13.17)",2,676037,,2026-05-12
Larvesta 099/086 IR BLK,Black Bolt,$11.73,"NM $11.67 (last sold 13.93, 13.41, 11.50)",2,642552,,2026-05-12
Great Tusk ex 246/198 SIR SVI,Scarlet & Violet Base Set,$10.75,"NM $10.81 (last sold 10.50, 11.99, 10.55)",1,490290,,2026-05-12
Jirachi 119/185 AR VIV,Vivid Voltage,$6.34,"NM $10.16 (last sold 13.28, 8.99, 8.48)",2,226573,,2026-05-12
Electivire - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG08/GG70,,$10.25,"NM $10.10 (last sold 8.50, 10.48, 8.50)",2,478025,,2026-05-12
Totodile M - 006/022 - Movie Commemoration Random Pack 006/022 None,,$13.59,,1,613765,,2026-05-12
Piplup M - 007/022 - Movie Commemoration Random Pack 007/022 None,,$27.67,,1,613760,,2026-05-12
Iono's Wattrel 231/217 IR ASC,Ascended Heroes,$11.24,"NM $11.20 (last sold 11.27, 11.99, 12.79)",1,676043,,2026-05-12
Teal Mask Ogerpon ex 177/131 HR PRE,Prismatic Evolutions,$12.70,"NM $12.60 (last sold 12.56, 12.56, 14.00)",1,610532,,2026-05-12
Thievul - SWSH: Crown Zenith: Galarian Gallery (CRZ:GG) GG17/GG70,,$2.79,"NM $2.79 (last sold 3.00, 2.47, 2.65)",1,477056,,2026-05-12
Miraidon 013 SVP,Scarlet & Violet Promo Cards,$6.11,"NM $7.45 (last sold 8.00, 7.50, 6.91)",1,490719,,2026-05-12
