Name,Set,Market $,Prices,Qty,TCG ID,Location,Date,
Surfer 293/217 SIR ASC,Ascended Heroes,$30.03,"NM $30.63 (last sold 30.00, 29.82, 30.82)",2,676105,,2026-05-12,2026-05-18
Jellicent ex 168/086 SIR WHT,White Flare,$25.55,"NM $27.03 (last sold 25.00, 30.00, 25.90)",1,642285,,2026-05-12,2026-05-18
Gouging Fire ex 204/162 SIR TEF,Temporal Forces,$38.22,"NM $40.47 (last sold 41.39, 40.24, 40.24)",2,542925,,2026-05-12,2026-05-18
Raging Bolt ex 208/162 SIR TEF,Temporal Forces,$70.70,"NM $70.87 (last sold 70.96, 69.49, 70.96)",1,542929,,2026-05-12,2026-05-18
Galarian Perrserker V 184/196 Alt Art LOR,Lost Origin,$19.75,"NM $19.60 (last sold 20.00, 20.60, 19.00)",1,284135,,2026-05-12,2026-05-18
Dawn 129/094 SIR PFL,Phantasmal Flames,$30.12,"NM $30.62 (last sold 29.70, 30.42, 29.36)",1,662150,,2026-05-12,2026-05-18
Yanmega ex 228/182 SIR DRI,Destined Rivals,$24.82,"NM $25.06 (last sold 25.00, 25.00, 28.05)",2,633028,,2026-05-12,2026-05-18
Sinistcha ex 210/167 SIR TWM,Twilight Masquerade,$26.37,"NM $27.61 (last sold 27.59, 26.47, 29.95)",1,550254,,2026-05-12,2026-05-18
Wally's Compassion 186/132 SIR MEG,Mega Evolution,$23,"NM $23.63 (last sold 25.00, 23.18, 23.00)",2,654525,,2026-05-12,2026-05-18
Arven 235/198 UR SVI,Scarlet & Violet Base Set,$3.49,"NM $3.04 (last sold 3.50, 1.79, 3.59)",1,490093,,2026-05-12,2026-05-18
Lycanroc VMAX 213/203 Rainbow EVS,Evolving Skies,$7.33,"NM $10.35 (last sold 11.87, 8.73, 10.75)",1,246714,,2026-05-16,2026-05-18
Penny 239/091 SIR PAF,Paldean Fates,$19.25,"NM $19.24 (last sold 19.50, 19.96, 19.50)",4,535108,,2026-05-12,2026-05-18
Hilda 171/086 SIR WHT,White Flare,$64.24,"NM $62.57 (last sold 60.00, 60.00, 63.00)",1,642288,,2026-05-12,2026-05-18
Iono 237/091 SIR PAF,Paldean Fates,$29.75,"NM $28.52 (last sold 28.02, 28.20, 29.35)",3,535101,,,2026-05-18
Iron Boulder ex 207/162 SIR TEF,Temporal Forces,$18.66,"NM $17.93 (last sold 17.00, 17.69, 18.75)",1,542928,,2026-05-12,2026-05-18
Chien-Pao ex 261/193 SIR PAL,Paldea Evolved,$27.86,"NM $28.09 (last sold 29.98, 28.02, 26.99)",2,497680,,2026-05-12,2026-05-18
Acerola's Mischief 183/132 SIR MEG,Mega Evolution,$39.12,"NM $36.79 (last sold 34.99, 36.68, 36.49)",2,654522,,2026-05-12,2026-05-18
Lana's Aid 219/167 SIR TWM,Twilight Masquerade,$36.94,"NM $38.97 (last sold 46.98, 35.00, 39.58)",2,550263,,2026-05-12,2026-05-18
Oricorio ex 024 MEP,Mega Evolution Promo,$13.61,"NM $14.14 (last sold 15.98, 13.40, 13.42)",1,664010,,2026-05-16,2026-05-18
Toxtricity VMAX 196/192 Rainbow RCL,Rebel Clash,$16.62,"NM $18.56 (last sold 15.00, 17.06, 20.95)",1,213157,,2026-05-12,2026-05-18
Miraidon ex 244/198 SIR SVI,Scarlet & Violet Base Set,$22.65,"NM $25.73 (last sold 26.00, 26.75, 24.45)",1,485259,,2026-05-12,2026-05-18
Salamence VMAX 194/189 Rainbow DAA,Darkness Ablaze,$14.72,"NM $15.81 (last sold 14.99, 21.38, 15.70)",1,219320,,2026-05-16,2026-05-18
73/131 SM06,,$11.21,"NM $10.43 (last sold 10.15, 10.19, 10.95)",2,165725,,2026-05-12,2026-05-18
Galvantula ex 168/142 SIR SCR,Stellar Crown,$19.09,"NM $22.12 (last sold 19.99, 19.00, 17.00)",1,567474,,2026-05-16,2026-05-18
Rotom ex 126/094 SIR PFL,Phantasmal Flames,$20.52,"NM $22.21 (last sold 27.97, 23.74, 19.55)",1,662222,,2026-05-16,2026-05-18
Rotom V 177/196 Alt Art LOR,Lost Origin,$30.15,"NM $30.58 (last sold 34.16, 29.59, 28.00)",1,284119,,2026-05-16,2026-05-18
Janine's Secret Art 088/064 UR SFA,Shrouded Fable,$6.59,"NM $6.57 (last sold 5.51, 8.00, 6.49)",1,560399,,2026-05-12,2026-05-18
Arven 249/198 SIR SVI,Scarlet & Violet Base Set,$5.70,"NM $5.83 (last sold 5.59, 6.94, 5.40)",1,490292,,2026-05-12,2026-05-18
Teal Mask Ogerpon ex 177/131 HR PRE,Prismatic Evolutions,$13.23,"NM $12.79 (last sold 13.25, 13.04, 11.48)",1,610532,,2026-05-16,2026-05-18
Umbreon ex 161/131 SIR PRE,Prismatic Evolutions,"$1,481.27","NM $1267.66 (last sold 1215.00, 165.95, 1520.00)",1,610516,,,2026-05-18
Pokemon Ranger 113/114 FA STS,Steam Siege,$7.47,"NM $7.89 (last sold 8.24, 7.55)",1,121237,,,2026-05-18
Canari 257/217 UR ASC,Ascended Heroes,$4.09,"NM $3.79 (last sold 3.85, 3.50, 3.00)",3,676069,,,2026-05-18
N's Zoroark ex 189/159 HR JTG,Journey Together,$18.75,"NM $18.33 (last sold 18.31, 17.00, 18.78)",1,623616,,,2026-05-18
