CERT,GRADING COMPANY,Item Name,Pop,CL,MP,LS,List,LV,Note,Days on Shelf,Status,Listed Date,Last Alert,Cost Basis,Location,Intake Date
6143582041,CGC,CGC Pristine 10 Mega Greninja ex #114 Special Art Rare POP 80 Japanese,80,,501.65,,750,,"PSA10 last: $400, $325, $780; CGC Pristine 10 last: $495, $400, $255; MP via PSA10 floor (was CGC Pristine 10)",,IN_STOCK,,,,warehouse,
6092255029,CGC,CGC Pristine 10 Team Rocket's Mewtwo ex #125 Special Art Rare POP 199 Japanese,199,780,589.11,,1200,599.99,PSA10 last: $589; CGC10 last: $350; MP via PSA10 floor (was CGC10); dropped noisy: CGC Pristine 10(7.8x),0,SOLD,2026-04-28,,,warehouse,
6092217121,CGC,CGC Pristine 10 Team Rocket's Moltres ex #229 Special Illustration Rare POP 73,73,435,369.03,,499.99,499.99,"🏆 LV is cheapest. PSA10 last: $360, $350, $397; CGC Pristine 10 last: $70, $90, $179; PSA9 floor $123; MP via PSA10 floor (was CGC Pristine 10)",17,EBAY LISTED,2026-04-27,,,warehouse,
6092260298,CGC,CGC Pristine 10 Prismatic Evolutions Sylveon ex #041 Surprise Box POP 114,114,49.2,92.67,,89.99,99.99,"PSA10 last: $88, $70, $110; CGC Pristine 10 last: $145, $67, $66; PSA9 floor $20",17,EBAY LISTED,2026-04-27,,,warehouse,
6060288032,CGC,CGC Pristine 10 Plasma Gale Lugia EX #059 1st Edition Holo POP 1 Japanese,1,,799.99,,799.99,799.99,"🏆 LV is cheapest. MP via BIN; dropped noisy: PSA10(12.6x),CGC Pristine 10(15.2x),CGC10(15.2x); pop 1",18,EBAY LISTED,2026-04-27,,,warehouse,
6092242144,CGC,CGC Pristine 10 Chilling Reign Galarian Slowking V #179 Ultra Rare POP 66,66,300,269.98,,399.99,399.99,"🏆 LV is cheapest. PSA10 last: $300, $250, $260; CGC Pristine 10 last: $175; PSA9 floor $1000; MP via PSA10 floor (was CGC Pristine 10)",17,EBAY LISTED,2026-04-27,,,warehouse,
6060405037,CGC,CGC 7.5 EX Legend Maker Regirock ☆ #91 Holo,,3952,811.66,,1400,,"CGC 7.5 last: $820, $1115, $500; dropped noisy: PSA10(109.5x)",,IN_STOCK,,,,warehouse,
6077540042,CGC,CGC Pristine 10 Legendary Shine Regigigas #023 1st Edition Holo POP 12 Japanese,12,195,242.99,,250,299.99,"PSA10 last: $48; CGC Pristine 10 last: $144, $375, $210; pop 12",19,EBAY LISTED,2026-04-25,,,warehouse,
6092236095,CGC,CGC Pristine 10 Black Bolt Zekrom ex #169 Special Art Rare Japanese,225,300,258.33,,350,299.99,"PSA10 last: $238, $205; CGC Pristine 10 last: $300, $335, $140",17,EBAY LISTED,2026-04-27,,,warehouse,
6074608048,CGC,CGC Pristine 10 Mega Symphonia Mega Gardevoir ex #087 Special Art Rare Japanese,314,217.76,200,,249.99,249.99,"🏆 LV is cheapest. PSA10 last: $200; CGC Pristine 10 last: $140, $145; PSA9 floor $150; MP via PSA10 floor (was CGC Pristine 10)",16,EBAY LISTED,2026-04-28,,,warehouse,
6060288006,CGC,CGC Pristine 10 Spiral Force Latios EX #054 1st Edition SR POP 2 Japanese,2,,146.66,,,,"PSA10 last: $250, $90, $100; MP via PSA10 (pristine floor); dropped noisy: CGC Pristine 10(8.3x),CGC10(8.3x); pop 2",,IN_STOCK,,,,warehouse,
6037430002,CGC,CGC 9 Groudon ex #008 1st Edition Cracked Ice Holo Japanese,,,256.42,,,,"PSA10 last: $399, $300, $400; MP via PSA10×0.70; dropped noisy: CGC 9(21.6x),CGC10(21.6x)",,IN_STOCK,,,,warehouse,
6092260269,CGC,CGC Pristine 10 Prismatic Evolutions Umbreon ex #060 Surprise Box POP 194,194,145,142,,168,,"PSA10 last: $135, $110, $115; CGC Pristine 10 last: $145, $141, $140; PSA9 floor $24",,IN_STOCK,,,,warehouse,
6092217235,CGC,CGC 9 Skyridge Raikou #H26 Holo,,6222,284.17,,,,"PSA10 last: $5071, $4932, $2377; CGC 9 last: $302, $246, $305",,IN_STOCK,,,,warehouse,
6092236092,CGC,CGC Pristine 10 Black Bolt N's Plan #173 Special Art Rare POP 144 Japanese,144,,94.97,,139.99,139.99,"🏆 LV is cheapest. PSA10 last: $59, $35; CGC Pristine 10 last: $100, $150, $35",17,EBAY LISTED,2026-04-27,,,warehouse,
6092238236,CGC,CGC Pristine 10 Twilight Masquerade Tatsugiri #186 Illustration Rare POP 60,60,170,197.83,,200,,"PSA10 last: $196, $209, $189; CGC Pristine 10 last: $137; List via PSA10 $200; MP via PSA10 floor (was CGC Pristine 10)",,IN_STOCK,,,,warehouse,
6092220069,CGC,CGC Pristine 10 Destined Rivals Rapidash #189 Illustration Rare POP 31,31,158,128,,300,,"PSA10 last: $135, $122, $85; CGC Pristine 10 last: $128; PSA9 floor $20; pop 31",,IN_STOCK,,,,warehouse,
1401019886065,CGC,CGC 9.5 Neo Destiny Shining Steelix #112 Holo,,773,388.87,,,,"PSA10 last: $1800, $1176, $1200; CGC 9.5 last: $535, $271, $361; PSA9 floor $1050",,IN_STOCK,,,,warehouse,
6018065050,CGC,,,,,,,,,,,,,,,
6060434101,CGC,CGC Gem Mint 10 Charizard ex #234 Special Illustration Rare POP 165,165,500,446.66,,536.99,,"PSA10 last: $999, $900, $950; CGC Gem Mint 10 last: $600, $380, $360; PSA9 floor $350",,IN_STOCK,,,,warehouse,
6060434037,CGC,CGC 9 CD Promo Venusaur Holo Japanese,,285,320.98,,,,"PSA10 last: $1423, $1618, $1525; CGC 9 last: $263, $300, $400",,IN_STOCK,,,,warehouse,
6092240233,CGC,CGC 9 Aquapolis Octillery #H20 Holo,,182.6,162.86,,424.95,,"PSA10 last: $599, $455, $434; CGC 9 last: $183, $190, $116; PSA9 floor $425; List via PSA9 $425",,IN_STOCK,,,,warehouse,
6085705051,CGC,CGC Pristine 10 VMAX Climax Eevee #210 Character Rare Holo POP 44 Japanese,44,61,39.66,,40,,"PSA10 last: $60, $33, $26; CGC Pristine 10 last: $40, $32, $35; MP via PSA10 floor (was CGC Pristine 10); pop 44",,IN_STOCK,,,,warehouse,
6019889015,CGC,CGC Gem Mint 10 VMAX Climax Sylveon V #231 Character Super Rare Holo Japanese,606,99,104.67,,249.95,,"PSA10 last: $100, $43, $26; CGC Gem Mint 10 last: $95, $129, $90; List via PSA10 $250",,IN_STOCK,,,,warehouse,
6092247093,CGC,CGC 9 Awakening Legends Raikou Holo Japanese,,106,64.4,,,,"PSA10 last: $950, $850, $1251; CGC 9 last: $105, $25, $63",,IN_STOCK,,,,warehouse,
6059444131,CGC,CGC Gem Mint 10 Celebrations Classic Coll Venusaur #15 Base Set Holo,684,5570.81,59.99,,59.99,,"PSA9 floor $40; MP via BIN; dropped noisy: PSA10(49.0x),CGC Gem Mint 10(25.0x),CGC10(24.4x)",,IN_STOCK,,,,warehouse,
