Product,Category,Type,Quantity,Count Time（date/hour/minute）
Pokemon 151 Booster Pack,Pokemon,Pack,0,
Paldean Fates Booster Pack,Pokemon,Pack,0,
Battle Partner Box,Pokemon,Box,0,
Inferno X Booster Box,Pokemon,Box,0,
Ninja Spinner Booster Box,Pokemon,Box,2,
Mega Symphonia Booster Box,Pokemon,Box,0,
White Flare Booster Pack,Pokemon,Pack,0,
Surging Sparks Packs,Pokemon,Pack,0,
Nihil Zero Booster Box,Pokemon,Box,0,
Mega Brave Packs,Pokemon,Pack,0,
Mega Symphonia Packs,Pokemon,Pack,0,
Inferno X Packs,Pokemon,Pack,0,
black bolt packs,Pokemon,Pack,99,
chinese gem 2 ,Pokemon,Box,22,
Perfect order ,Pokemon,Box,28,
Ninja spinner,Pokemon,Pack,17,
Op 15 double pack,One piece,Box,2,
