Name,Language,Market Price,Alert,JPN Ref
OP 01 Japanese Booster Box,Japanese,$218.34,,"¥34,800"
OP 03 Japanese Booster Box,Japanese,$90.97,,"¥14,500"
OP 04 Japanese Booster Box,Japanese,$97.25,,"¥15,500"
OP 05 Japanese Booster Box,Japanese,$257.17,,"¥40,990"
OP 07 Japanese Booster Box,Japanese,$62.74,,"¥10,000"
OP 08 Japanese Booster Box,Japanese,$49.56,,"¥7,900"
OP 09 Japanese Booster Box,Japanese,$90.91,,"¥14,490"
OP 10 Japanese Booster Box,Japanese,$47.06,,"¥7,500"
OP 11 Japanese Booster Box,Japanese,$143.36,,"¥22,850"
OP 12 Japanese Booster Box,Japanese,$78.11,,"¥12,450"
OP 13 Japanese Booster Box,Japanese,$178.80,,"¥28,499"
OP 14 Japanese Booster Box,Japanese,$59.76,,"¥9,525"
OP 15 Japanese Booster Box,Japanese,$65.88,,"¥10,500"
EB 01 Japanese Booster Box,Japanese,$87.21,,"¥13,900"
EB 02 Japanese Booster Box,Japanese,$93.48,,"¥14,900"
EB 03 Japanese Booster Box,Japanese,$95.99,,"¥15,300"
EB 04 Japanese Booster Box,Japanese,$112.62,,"¥17,950"
EB 05 Japanese Booster Box,Japanese,$55.81,,"¥8,895"
PRB 02 Japanese Booster Box,Japanese,$40.78,,"¥6,500"
OP 08 English Booster Pack,English,$6.20,,
OP 09 English Booster Box,English,$588.92,,
OP 10 English Booster Pack,English,$6.47,,
OP 11 English Sleeved Booster Pack,English,$26.18,,
OP 13 English Booster Box,English,$579.67,,
OP 14 English Booster Box,English,$234.83,,
OP 14 English Sleeved Booster Pack,English,$9.18,,
OP 14 English Booster Pack,English,$6.88,,
OP 15 English Booster Box,English,$193.97,,
EB 03 English Booster Box,English,$309.13,,
PRB 01 English Booster Box,English,$842.43,,
Legacy of the Master Booster Box OP12,English,374.15,,
OP-07 500 Years in the Future Booster Box,English,394.51,,
OP-09 ENG Booster Box,English,,,
OP-13 ENG Booster Box,English,,,
EB-03 ENG Booster Box,English,,,
PRB-01 ENG Booster Box,English,,,
A Fist of Divine Speed - Booster Box OP-11,English,,,
EB-04 ENG Booster Box,English,,,
OP-09 ENG Booster Box,English,,,
OP-10 Royal Blood Booster Box,English,,,
